ATCOCode
260000401
260000708
260000709
260000711
260000903
260000904
260000905
260000907
260000910
260000T11
260000T12
260000T13
260000T15
260000T16
260000T17
260000T18
260000T19
260001406
260001407
260001408
260001409
260001411
260001412
260001413
260001602
260001604
260001605
260001718
260001757
260001784
260001785
260001790
260001796
260001798
260001905
260002014
260002015
260002104
260002110
260002113
260002114
260002203
260002504
260002603
260002605
260003203
260003227
260003232
260003232A
260003258
260003263
260003948
260003949
260004220
260004314
260004638
260010366A
260010627
260010636
260010647
260010652
260011009
260011136
260011140
260011502
260011504
260011505
260011620
260011711
260011803
260011904
260011905
260012100
260012106
260012203
260012204
260012208
260012209
260012211
260012212
260012301
260012302
260012304
260015808
260016050
260016111
260016112
260016114
260016116
260016412
260016517
260016519
260016520
260016521
260016522
260016523
260016524
260016817
260016823
260018567
260018569
260018571
260018579
260018581
260018583
260018587
260020000
260020106
260020201
260020316
260020801
260020802
260020900
260022670
260023000
260023400
260023401
260023502
260023503
260023806
260025220
260025500
260025501
260025603
260025700
260025701
260026000
260026001
260026100
260026101
260038039
2600612
2600613
260070036
260070042
260070043
260070044
260070047
260070048
260070050
260070054
260070080
260070099
260070100
260070109
260070110
260070152
260070153
260070216
260070217
260070218
260070220
260070235
260070236
260070238
260070239
260070240
260070241
260070242
260070249
260070250
260070251
260070252
260070253
260070257
260070261
260070262
260070263
260070264
260070281
260070290
260080003
260080004
260080006
260080008
260080011
260080012
260080014
260080015
260080020
260080022
260080059
260080062
260080078
260080092
260080093
260080097
260080098
260080102
260080105
260080122
260080123
260080126
260080127
260080165
260080166
260080171
260080183
260080235
260080253
260080302
2600LOGHBRO
2600LOUG0
2600ZZBFSHA
2600ZZBFSHE
2600ZZGCLBC
2600ZZGCQWH
2600ZZGCRTH
268060T01
268060T02
268060T04
268060T05
268060T06
2680OAKHAM
269000T01
269018589
269030000
269030002
269030003
269030005
269030006
269030011A
269030021
269030046
269030062
269030063
269030066
269030101
269030109
269030122
269030123
269030127
269032013
269032038
269032091
269032092
269032101
269032102
269032105
269033041
269034008
269034009
269034014
269034063
269034076
269034077
269034078
269034079
269034096
269034098
269034103
269034107
269035006
269035029
269036049
269038020
269038021
269039010
269039011
269039020
269039064
269039065
269041053
269041054
269043002
269043003
269043026
269043027
269051034
269051035
269055008
269057010A
269057010B
269057033A
269057044A
269057081A
269070158
269070161
269070163
269070193
269070194
269070259
269070260
269080131
269080133
269080135
269080181
269080205
269080264
269080300
2690ZZGCLCN
370056182
