NumberOfPositions,ATCOCode
4,270002701435
4,270002701436
4,270002701447
4,270002701448
4,270002701462
4,270002701463
4,270002701464
4,270002701465
4,270002701466
4,270002701467
4,270002701468
4,270002701469
4,270002701470
4,270002701508
4,270002701511
4,270002701513
4,270002701514
4,270002701515
4,270002701516
4,270002701522
4,270002701617
4,270002701618
4,270002701619
4,270002701620
4,270002701621
4,270002701622
4,270002701637
4,270002701648
4,270002701649
4,270002701650
4,270002701651
4,270002701652
4,270002701653
4,270002701654
4,270002701655
4,270002701656
4,270002701657
4,270002701661
4,270002701662
4,270002701663
4,270002701665
4,270002701696
4,270002701697
4,270002701698
4,270002701699
4,270002701700
4,270002701701
4,270002701702
4,270002701703
4,270002701704
4,270002701705
4,270002701706
4,270002701707
4,270002701708
4,270002701709
4,270002701710
4,270002701711
4,270002701712
4,270002701713
4,270002701714
4,270002701715
4,270002701716
4,270002701717
4,270002701718
4,270002701719
4,270002701720
4,270002701721
4,270002701722
4,270002701723
4,270002701724
4,270002701725
4,270002701726
4,270002701727
4,270002701728
4,270002701729
4,270002701730
4,270002701731
4,270002701732
4,270002701733
4,270002701735
4,270002701737
4,270002701738
4,270002701739
4,270002701740
4,270002701741
4,270002701743
4,270002701763
4,270002701764
4,270002701765
4,270002701766
4,270002701768
4,270002701769
4,270002702038
4,270002702039
4,270002702040
4,270002702042
4,270002702048
4,270002702050
4,270002702051
4,270002702052
4,270002702053
4,270002702054
4,270002702055
4,270002702056
4,270002702057
4,270002702058
4,270002702059
4,270002702060
4,270002702061
4,270002702062
4,270002702063
4,270002702064
4,270002702065
4,270002702066
4,270002702067
4,270002702068
4,270002702069
4,270002702070
4,270002702071
4,270002702072
4,270002702073
4,270002702074
4,270002702075
4,270002702076
4,270002702077
4,270002702078
4,270002702079
4,270002702080
4,270002703593
4,270002703602
4,270002703610
4,270002703611
4,270002703612
4,270002703614
4,270002703615
4,270002703616
4,270002703617
4,270002703618
4,270002703619
4,270002703620
4,270002703672
4,270002703673
4,270002703674
4,270002703675
4,270002703676
4,270002703677
4,270002703678
4,270002703679
4,270002703680
4,270002703703
4,270002703748
4,270002703749
4,270002703750
4,270002703751
4,270002703752
4,2700LACC1845
4,2700LACC1852
4,2700LACC2144
4,2700LALB0661
4,2700LAPC1848
4,2700LAPC2141
4,2700LBBC2448
4,2700LBCC2028
4,2700LBCC2029
4,2700LBCC2146
4,2700LBCC2280
4,2700LBCC2963
4,2700LBEC1854
4,2700LBFCC773
4,2700LBHB2274
4,2700LBHC2965
4,2700LBMC2959
4,2700LBV00812
4,2700LCC05285
4,2700LCCC2147
4,2700LCCC3019
4,2700LCHC2481
4,2700LCHC2966
4,2700LCPC1860
4,2700LCSA1840
4,2700LCT04013
4,2700LD002161
4,2700LDCC1863
4,2700LDCC2061
4,2700LDCC2154
4,2700LDCC2160
4,2700LDCC2967
4,2700LDGC2156
